"","block","streetName","streetType","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","class","pavement","streetID"
"1",0,"KINGSLEY","PL","",5,2,4,606,0,"4/15","","","","",12572861
"2",100,"ABERDEEN","TER","",6,3,4,530,22,"4/14","1988","O","","3",12581174
"3",100,"ACADEMY","PL","",6,4,2,588,28,"4/15","","O","","3",12576512
"4",100,"ACADEMY","ST","",8,4,4,325,25,"4/15","1996","O","","3",12571714
"5",100,"ADAMS","ST","E",8,4,5,176,64,"4/14","2000","F","","6",12577644
"6",100,"ADAMS","ST","W",8,3,5,352,64,"4/14","2000","F","","6",12573680
"7",100,"AINSLEY","DR","",6,3,2,411,26,"5/14","","F","CO","3",12576911
"8",100,"AINSLEY","DR","",6,3,2,411,26,"5/14","","F","CO","3",12576914
"9",100,"ALANSON","RD","",5,2,5,880,18,"3/15","2004","F","","6",12571891
"10",100,"ALANSON","RD","",5,2,5,880,18,"3/15","2004","F","","6",12572942
"11",100,"ALANSON","RD","",5,2,5,880,18,"3/15","2004","F","","6",12572940
"12",100,"ALBERT","RD","",4,2,4,327,27,"5/14","","O","","3",12578942
"13",100,"ALDEN","ST","",5,2,3,792,26,"5/14","1989","O","","3",12576956
"14",100,"ALEXANDER","AVE","",2,1,1,686,27,"5/14","","F","","4",12577333
"15",100,"ALMOND","ST","",5,3,2,150,54,"4/14","1993","F","","6",12577993
"16",100,"ALMOND","ST","",5,3,2,150,54,"4/14","1993","F","","6",12578006
"17",100,"ALTON","ST","",6,3,3,1050,25,"4/14","2002","O","","3",13011484
"18",100,"ALTON","ST","",6,3,3,1050,25,"4/14","2002","O","","3",13002170
"19",100,"ALVORD","ST","S",5,2,3,352,32,"4/14","1987","F","","6",12580079
"20",100,"AMES","AVE","",6,3,3,323,26,"6/14","","O","","3",12571734
"21",100,"AMHERST","AVE","",7,4,3,557,25,"5/14","2005","F","","4",12576881
"22",100,"AMIDON","DR","",4,2,2,250,27,"3/13","1994","F","","4",13002105
"23",100,"AMY","ST","",8,4,4,792,27,"4/15","1994","O","","3",12573417
