"","StreetNumber","StreetName","StreetNamePostType","Directional","strLocation","dtTime","STREET_ID","Latitude","Longitude"
"1",118,"ACADEMY","PL","","118 ACADEMY PL","2016-04-19 13:30:00.0",12576512,42.9969782,-76.1516181
"2",102,"ACADEMY","PL","","102 ACADEMY PL & CHAFFEE AVE","2016-04-18 11:00:00.0",12576512,42.99777871,-76.15212745
"3",123,"ACADEMY","PL","","123 ACADEMY PL","2016-04-19 13:29:00.0",12576512,42.99666139,-76.15158513
"4",135,"ACADEMY","PL","","135 ACADEMY PL","2016-04-19 13:16:00.0",12576512,42.99612611,-76.15153626
"5",131,"ACADEMY","PL","","131 ACADEMY PL","2016-04-19 13:27:00.0",12576512,42.99633741,-76.1515642
"6",131,"ACADEMY","PL","","131 ACADEMY PL","2016-04-19 13:25:00.0",12576512,42.99625068,-76.15156492
"7",135,"ACADEMY","PL","","135 ACADEMY PL","2016-04-19 13:21:00.0",12576512,42.99608623,-76.15153528
"8",139,"ACADEMY","PL","","139 ACADEMY PL & NORMANOR DR","2016-04-19 13:09:00.0",12576512,42.99590489,-76.15153312
"9",103,"ACADEMY","PL","","103 ACADEMY PL & CHAFFEE AVE","2016-04-19 13:35:00.0",12576512,42.99773489,-76.1516844
"10",114,"ACADEMY","PL","","114 ACADEMY PL","2016-04-19 13:32:00.0",12576512,42.99708543,-76.15162178
"11",103,"ACADEMY","PL","","103 ACADEMY PL & CHAFFEE AVE","2016-04-19 13:35:00.0",12576512,42.99769212,-76.1516702
"12",131,"ACADEMY","PL","","131 ACADEMY PL","2016-04-19 13:23:00.0",12576512,42.99619641,-76.15156914
"13",139,"ACADEMY","PL","","139 ACADEMY PL & NORMANOR DR","2016-04-19 13:07:00.0",12576512,42.99580338,-76.15152198
"14",139,"ACADEMY","PL","","139 ACADEMY PL & NORMANOR DR","2016-04-20 09:52:00.0",12576512,42.99571409,-76.15112061
"15",102,"ACADEMY","PL","","102 ACADEMY PL & CHAFFEE AVE","2016-04-18 11:01:00.0",12576512,42.99780341,-76.15202315
"16",139,"ACADEMY","PL","","139 ACADEMY PL & NORMANOR DR","2016-07-20 10:39:27.0",12576512,42.9959056,-76.15149064
"17",139,"ACADEMY","PL","","139 ACADEMY PL & NORMANOR DR","2016-07-20 10:39:27.0",12576512,42.9959056,-76.15149064
"18",106,"ACADEMY","PL","","106 ACADEMY PL","2016-04-19 13:34:00.0",12576512,42.99743062,-76.15166113
"19",139,"ACADEMY","PL","","139 ACADEMY PL & NORMANOR DR","2016-04-19 13:06:00.0",12576512,42.99579063,-76.15153195
"20",139,"ACADEMY","PL","","139 ACADEMY PL & NORMANOR DR","2016-04-20 09:54:00.0",12576512,42.99577841,-76.15151964
"21",139,"ACADEMY","PL","","139 ACADEMY PL & NORMANOR DR","2016-04-19 13:07:00.0",12576512,42.99588012,-76.15152117
"22",117,"ACADEMY","ST","","117 ACADEMY ST & MCDOUGALL PL","2016-04-20 10:41:00.0",12571714,42.99982638,-76.15208918
"23",117,"ACADEMY","ST","","117 ACADEMY ST & MCDOUGALL PL","2016-04-20 10:39:00.0",12571714,42.99981639,-76.15208424
"24",117,"ACADEMY","ST","","117 ACADEMY ST & MCDOUGALL PL","2016-04-20 10:43:00.0",12571714,42.99982211,-76.15201525
