"BlockNumber","StreetName","StreetType","StreetDirection","OverallRating","CrackRating","PatchRating","Length","Width","StreetClass","Pavement","Flush_Oil","StreetID","DateLastOverlay"
0,"KINGSLEY","PL","",5,2,4,606,0,"Local","","",12572861,""
100,"ABERDEEN","TER","",6,3,4,530,22,"Local","3","O",12581174,"1988"
100,"ACADEMY","PL","",6,4,2,588,28,"Local","3","O",12576512,""
100,"ACADEMY","ST","",8,4,4,325,25,"Local","3","O",12571714,"1996"
100,"ACORN","PATH","",6,3,5,410,16,"Local","3","O",12577508,""
100,"ACORN","PATH","",5,3,4,250,16,"Local","3","O",12577508,"2001"
100,"ADAMS","ST","E",10,5,5,176,64,"Local","6","F",12577644,"2015"
100,"ADAMS","ST","W",8,3,5,352,64,"Local","6","F",12573680,"2000"
100,"AINSLEY","DR","",6,3,2,411,26,"CO","3","F",12576914,""
100,"AINSLEY","DR","",6,3,2,411,26,"CO","3","F",12576911,""
100,"ALANSON","RD","",5,2,5,880,18,"Local","6","F",12571891,"2004"
100,"ALANSON","RD","",5,2,5,880,18,"Local","6","F",12572940,"2004"
100,"ALANSON","RD","",5,2,5,880,18,"Local","6","F",12572942,"2004"
100,"ALBERT","RD","",4,2,4,327,27,"Local","3","O",12578942,""
100,"ALDEN","ST","",5,2,3,792,26,"Local","3","O",12576956,"1989"
100,"ALEXANDER","AVE","",2,1,1,686,27,"Local","4","F",12577333,""
100,"ALMOND","ST","",5,3,2,150,54,"Local","6","F",12578006,"1993"
100,"ALMOND","ST","",5,3,2,150,54,"Local","6","F",12577993,"1993"
100,"ALTON","ST","",6,3,3,1050,25,"Local","3","O",13002170,"2002"
100,"ALTON","ST","",6,3,3,1050,25,"Local","3","O",13011484,"2002"
100,"ALVORD","ST","S",5,2,3,352,32,"Local","6","F",12580079,"1987"
100,"AMES","AVE","",6,3,3,323,26,"Local","3","O",12571734,""
100,"AMHERST","AVE","",7,4,3,557,25,"Local","4","F",12576881,"2005"
100,"AMIDON","DR","",4,3,1,250,27,"Local","4","F",13002105,"1994"
100,"AMY","ST","",8,4,4,792,27,"Local","3","O",12573417,"1994"
100,"ANDERSON","AVE","",6,3,4,1150,25,"Local","3","O",12576600,"1999"
100,"ANDOVER","RD","",6,3,5,323,21,"Local","3","O",12577527,""
100,"ARCH","ST","",6,2,4,352,18,"Local","3","O",12581146,"2002"
100,"ARCHER","RD","",7,3,5,323,28,"Local","3","O",12572325,"2001"
100,"ARDEN","DR","",6,3,3,323,28,"Local","3","O",12571869,"2003"
100,"ARDMORE","PL","",4,2,4,247,26,"Local","3","O",12580667,"1985"
100,"ARDMORE","PL","",4,2,4,247,26,"Local","3","O",12580665,"1985"
100,"ARGONNE","DR","",4,3,3,175,22,"Local","3","O",12572899,"1989"
100,"ARGYLE","AVE","",3,2,3,360,25,"Local","3","F",12580767,"2005"
100,"ARGYLE","TER","",7,2,5,330,25,"Local","","F",12573198,""
100,"ARLINGTON","AVE","",4,2,2,500,36,"Local","6","F",12572035,""
100,"ARMSTRONG","PL","",6,3,4,381,30,"Local","3","O",12571903,"1992"
100,"ARNTS","PL","",7,3,4,495,18,"Local","3","O",12575521,"1996"
100,"ARSENAL","DR","",4,2,2,323,26,"Local","3","O",12576562,"1994"
100,"ASH","ST","",5,3,3,381,30,"Local","6","F",12575114,"1999"
100,"ASHDALE","AVE","",6,3,4,716,27,"Local","3","O",12581076,"1988"
100,"ASHWORTH","PL","",4,3,2,600,27,"Local","6","F",12578137,"1991"
100,"ATKINSON","AVE","",7,3,5,739,23,"Local","3","O",12572894,""
100,"ATLANTIC","AVE","",6,3,3,NA,NA,"Local","3","O",12576699,""
100,"AUSTIN","AVE","",7,3,5,1637,23,"Local","3","O",12572328,"2003"
100,"AVERY","AVE","S",6,2,4,352,36,"CO","6","F",13010365,"1996"
100,"AVERY","AVE","S",6,2,4,352,36,"CO","6","F",13010364,"1996"
100,"AVERY","AVE","S",6,2,4,352,36,"CO","6","F",12572698,"1996"
100,"AVOCA","ST","",3,2,3,685,28,"Local","3","O",12572709,"2001"
100,"AVON","RD","",5,2,3,561,25,"Local","4","F",12581144,"2002"
100,"AVONDALE","PL","",6,4,3,605,27,"Local","6","F",12577635,"1997"
100,"BAKER","AVE","",7,4,4,NA,NA,"Local","","",12577267,""
100,"BALDWIN","AVE","",6,3,2,1007,27,"Local","3","O",12571994,"1991"
100,"BALL","CIR","",5,3,2,1031,26,"Local","3","O",12576912,""
100,"BALLANTYNE","RD","",8,4,4,805,31,"Local","4","F",12576746,"2004"
100,"BALLANTYNE","RD","",8,4,4,805,31,"Local","4","F",13028538,"2004"
100,"BALLARD","AVE","",5,3,3,375,NA,"Local","3","O",12573229,""
